Speed(RPM),RotorLoss(W),StatorLoss(W),MagnetLoss(W),PhaseOhmicLoss(W),PhaseProxLoss(W),TotalLoss(W)
1.0000000e+02,2.1845328e-04,2.8472547e-02,8.6322595e-04,4.3701756e+00,3.6613469e-05,4.3997664e+00
2.0000000e+02,4.9942116e-04,5.9851468e-02,3.4529038e-03,4.3701756e+00,1.4645387e-04,4.4341258e+00
3.0000000e+02,8.4290364e-04,9.4136764e-02,7.7690336e-03,4.3701756e+00,3.2952122e-04,4.4732538e+00
4.0000000e+02,1.2489007e-03,1.3132843e-01,1.3811615e-02,4.3701756e+00,5.8581550e-04,4.5171504e+00
5.0000000e+02,1.7174124e-03,1.7142648e-01,2.1580649e-02,4.3701756e+00,9.1533672e-04,4.5658155e+00
6.0000000e+02,2.2484387e-03,2.1443089e-01,3.1076134e-02,4.3701756e+00,1.3180849e-03,4.6192492e+00
7.0000000e+02,2.8419795e-03,2.6034169e-01,4.2298072e-02,4.3701756e+00,1.7940600e-03,4.6774514e+00
8.0000000e+02,3.4980350e-03,3.0915885e-01,5.5246461e-02,4.3701756e+00,2.3432620e-03,4.7404222e+00
9.0000000e+02,4.2166051e-03,3.6088239e-01,6.9921302e-02,4.3701756e+00,2.9656910e-03,4.8081616e+00
1.0000000e+03,4.9976897e-03,4.1551231e-01,8.6322595e-02,4.3701756e+00,3.6613469e-03,4.8806695e+00
1.1000000e+03,5.8412890e-03,4.7304859e-01,1.0445034e-01,4.3701756e+00,4.4302297e-03,4.9579461e+00
1.2000000e+03,6.7474029e-03,5.3349126e-01,1.2430454e-01,4.3701756e+00,5.2723395e-03,5.0399911e+00
1.3000000e+03,7.7160314e-03,5.9684029e-01,1.4588519e-01,4.3701756e+00,6.1876762e-03,5.1268048e+00
1.4000000e+03,8.7471744e-03,6.6309570e-01,1.6919229e-01,4.3701756e+00,7.1762399e-03,5.2183870e+00
1.5000000e+03,9.8408321e-03,7.3225749e-01,1.9422584e-01,4.3701756e+00,8.2380305e-03,5.3147378e+00
1.6000000e+03,1.0997004e-02,8.0432565e-01,2.2098584e-01,4.3701756e+00,9.3730480e-03,5.4158571e+00
1.7000000e+03,1.2215691e-02,8.7930018e-01,2.4947230e-01,4.3701756e+00,1.0581292e-02,5.5217451e+00
1.8000000e+03,1.3496893e-02,9.5718109e-01,2.7968521e-01,4.3701756e+00,1.1862764e-02,5.6324016e+00
1.9000000e+03,1.4840609e-02,1.0379684e+00,3.1162457e-01,4.3701756e+00,1.3217462e-02,5.7478266e+00
2.0000000e+03,1.6246839e-02,1.1216620e+00,3.4529038e-01,4.3701756e+00,1.4645387e-02,5.8680202e+00
2.1000000e+03,1.7715585e-02,1.2082621e+00,3.8068265e-01,4.3701756e+00,1.6146540e-02,5.9929824e+00
2.2000000e+03,1.9246845e-02,1.2977685e+00,4.1780136e-01,4.3701756e+00,1.7720919e-02,6.1227132e+00
2.3000000e+03,2.0840619e-02,1.3901812e+00,4.5664653e-01,4.3701756e+00,1.9368525e-02,6.2572125e+00
2.4000000e+03,2.2496908e-02,1.4855004e+00,4.9721815e-01,4.3701756e+00,2.1089358e-02,6.3964804e+00
2.5000000e+03,2.4215712e-02,1.5837259e+00,5.3951622e-01,4.3701756e+00,2.2883418e-02,6.5405169e+00
2.6000000e+03,2.5997030e-02,1.6848578e+00,5.8354074e-01,4.3701756e+00,2.4750705e-02,6.6893219e+00
2.7000000e+03,2.7840863e-02,1.7888961e+00,6.2929172e-01,4.3701756e+00,2.6691219e-02,6.8428955e+00
2.8000000e+03,2.9747210e-02,1.8958407e+00,6.7676915e-01,4.3701756e+00,2.8704959e-02,7.0012377e+00
2.9000000e+03,3.1716072e-02,2.0056918e+00,7.2597303e-01,4.3701756e+00,3.0791927e-02,7.1643484e+00
3.0000000e+03,3.3747449e-02,2.1184492e+00,7.7690336e-01,4.3701756e+00,3.2952122e-02,7.3322277e+00
3.1000000e+03,3.5841340e-02,2.2341129e+00,8.2956014e-01,4.3701756e+00,3.5185543e-02,7.5048756e+00
3.2000000e+03,3.7997746e-02,2.3526831e+00,8.8394338e-01,4.3701756e+00,3.7492192e-02,7.6822920e+00
3.3000000e+03,4.0216666e-02,2.4741596e+00,9.4005306e-01,4.3701756e+00,3.9872067e-02,7.8644770e+00
3.4000000e+03,4.2498102e-02,2.5985425e+00,9.9788920e-01,4.3701756e+00,4.2325170e-02,8.0514306e+00
3.5000000e+03,4.4842051e-02,2.7258317e+00,1.0574518e+00,4.3701756e+00,4.4851499e-02,8.2431527e+00
3.6000000e+03,4.7248515e-02,2.8560274e+00,1.1187408e+00,4.3701756e+00,4.7451055e-02,8.4396434e+00
3.7000000e+03,4.9717494e-02,2.9891294e+00,1.1817563e+00,4.3701756e+00,5.0123839e-02,8.6409027e+00
3.8000000e+03,5.2248988e-02,3.1251378e+00,1.2464983e+00,4.3701756e+00,5.2869849e-02,8.8469305e+00
3.9000000e+03,5.4842996e-02,3.2640526e+00,1.3129667e+00,4.3701756e+00,5.5689086e-02,9.0577269e+00
4.0000000e+03,5.7499518e-02,3.4058737e+00,1.3811615e+00,4.3701756e+00,5.8581550e-02,9.2732919e+00
4.1000000e+03,6.0218556e-02,3.5506012e+00,1.4510828e+00,4.3701756e+00,6.1547241e-02,9.4936254e+00
4.2000000e+03,6.3000107e-02,3.6982351e+00,1.5227306e+00,4.3701756e+00,6.4586159e-02,9.7187275e+00
4.3000000e+03,6.5844174e-02,3.8487754e+00,1.5961048e+00,4.3701756e+00,6.7698304e-02,9.9485982e+00
4.4000000e+03,6.8750755e-02,4.0022220e+00,1.6712054e+00,4.3701756e+00,7.0883675e-02,1.0183237e+01
4.5000000e+03,7.1719851e-02,4.1585750e+00,1.7480326e+00,4.3701756e+00,7.4142274e-02,1.0422645e+01
4.6000000e+03,7.4751461e-02,4.3178344e+00,1.8265861e+00,4.3701756e+00,7.7474100e-02,1.0666822e+01
4.7000000e+03,7.7845586e-02,4.4800001e+00,1.9068661e+00,4.3701756e+00,8.0879152e-02,1.0915767e+01
4.8000000e+03,8.1002225e-02,4.6450723e+00,1.9888726e+00,4.3701756e+00,8.4357432e-02,1.1169480e+01
4.9000000e+03,8.4221379e-02,4.8130508e+00,2.0726055e+00,4.3701756e+00,8.7908938e-02,1.1427962e+01
5.0000000e+03,8.7503048e-02,4.9839357e+00,2.1580649e+00,4.3701756e+00,9.1533672e-02,1.1691213e+01
5.1000000e+03,9.0847231e-02,5.1577269e+00,2.2452507e+00,4.3701756e+00,9.5231632e-02,1.1959232e+01
5.2000000e+03,9.4253929e-02,5.3344245e+00,2.3341630e+00,4.3701756e+00,9.9002819e-02,1.2232020e+01
5.3000000e+03,9.7723141e-02,5.5140285e+00,2.4248017e+00,4.3701756e+00,1.0284723e-01,1.2509576e+01
5.4000000e+03,1.0125487e-01,5.6965389e+00,2.5171669e+00,4.3701756e+00,1.0676487e-01,1.2791901e+01
5.5000000e+03,1.0484911e-01,5.8819557e+00,2.6112585e+00,4.3701756e+00,1.1075574e-01,1.3078995e+01
5.6000000e+03,1.0850587e-01,6.0702788e+00,2.7070766e+00,4.3701756e+00,1.1481984e-01,1.3370857e+01
5.7000000e+03,1.1222514e-01,6.2615083e+00,2.8046211e+00,4.3701756e+00,1.1895716e-01,1.3667487e+01
5.8000000e+03,1.1600692e-01,6.4556441e+00,2.9038921e+00,4.3701756e+00,1.2316771e-01,1.3968886e+01
5.9000000e+03,1.1985122e-01,6.6526864e+00,3.0048895e+00,4.3701756e+00,1.2745148e-01,1.4275054e+01
6.0000000e+03,1.2375804e-01,6.8526350e+00,3.1076134e+00,4.3701756e+00,1.3180849e-01,1.4585991e+01
6.1000000e+03,1.2772737e-01,7.0554900e+00,3.2120638e+00,4.3701756e+00,1.3623872e-01,1.4901695e+01
6.2000000e+03,1.3175921e-01,7.2612514e+00,3.3182406e+00,4.3701756e+00,1.4074217e-01,1.5222169e+01
6.3000000e+03,1.3585357e-01,7.4699191e+00,3.4261438e+00,4.3701756e+00,1.4531886e-01,1.5547411e+01
6.4000000e+03,1.4001044e-01,7.6814932e+00,3.5357735e+00,4.3701756e+00,1.4996877e-01,1.5877422e+01
6.5000000e+03,1.4422983e-01,7.8959737e+00,3.6471297e+00,4.3701756e+00,1.5469191e-01,1.6212201e+01
6.6000000e+03,1.4851173e-01,8.1133606e+00,3.7602123e+00,4.3701756e+00,1.5948827e-01,1.6551748e+01
6.7000000e+03,1.5285615e-01,8.3336538e+00,3.8750213e+00,4.3701756e+00,1.6435786e-01,1.6896065e+01
6.8000000e+03,1.5726308e-01,8.5568534e+00,3.9915568e+00,4.3701756e+00,1.6930068e-01,1.7245150e+01
6.9000000e+03,1.6173253e-01,8.7829594e+00,4.1098188e+00,4.3701756e+00,1.7431672e-01,1.7599003e+01
7.0000000e+03,1.6626449e-01,9.0119718e+00,4.2298072e+00,4.3701756e+00,1.7940600e-01,1.7957625e+01
7.1000000e+03,1.7085896e-01,9.2438905e+00,4.3515220e+00,4.3701756e+00,1.8456850e-01,1.8321016e+01
7.2000000e+03,1.7551595e-01,9.4787156e+00,4.4749633e+00,4.3701756e+00,1.8980422e-01,1.8689175e+01
7.3000000e+03,1.8023546e-01,9.7164471e+00,4.6001311e+00,4.3701756e+00,1.9511317e-01,1.9062102e+01
7.4000000e+03,1.8501747e-01,9.9570850e+00,4.7270253e+00,4.3701756e+00,2.0049535e-01,1.9439799e+01
7.5000000e+03,1.8986201e-01,1.0200629e+01,4.8556460e+00,4.3701756e+00,2.0595076e-01,1.9822264e+01
7.6000000e+03,1.9476906e-01,1.0447080e+01,4.9859931e+00,4.3701756e+00,2.1147940e-01,2.0209497e+01
7.7000000e+03,1.9973862e-01,1.0696437e+01,5.1180667e+00,4.3701756e+00,2.1708126e-01,2.0601499e+01
7.8000000e+03,2.0477070e-01,1.0948700e+01,5.2518667e+00,4.3701756e+00,2.2275634e-01,2.0998269e+01
7.9000000e+03,2.0986529e-01,1.1203870e+01,5.3873932e+00,4.3701756e+00,2.2850466e-01,2.1399809e+01
8.0000000e+03,2.1502240e-01,1.1461946e+01,5.5246461e+00,4.3701756e+00,2.3432620e-01,2.1806116e+01
